Comune,SI_norm_km_density_x,SP_norm_km_density_x,SS_norm_km_density_x,SI_norm_min_density_x,SP_norm_min_density_x,SS_norm_min_density_x,SI_norm_km_density_y,SP_norm_km_density_y,SS_norm_km_density_y,SI_norm_min_density_y,SP_norm_min_density_y,SS_norm_min_density_y
CEPRANO,0.002380980471916125,0.00245167794154485,0.0018032067377619751,0.004335205671062075,0.00462733077746525,0.003619387845295025,0.0014758861660098194,0.0016385402480830356,0.0010658666187275368,0.0023611370718746023,0.0028150585564360175,0.001918221517591721
CERRETO LAZIALE,0.004316583472260349,0.00933643544734615,0.00933643544734615,0.00735135440675985,0.01392950473733645,0.01392950473733645,0.006032273964815711,0.010426936224765225,0.010426936224765225,0.010186568157999988,0.016072458738397636,0.016072458738397636
CERVARA DI ROMA,0.02897520733975895,0.02968052817493975,0.033109690093126726,0.04868606915605535,0.050209594797695246,0.0530152569065153,0.04637176133617652,0.04678467478029337,0.046624806083825875,0.07857496647390623,0.08014030305202746,0.07848227030343828
CERVARO,0.008540562174669392,0.0070165991145988765,0.008014536996686125,0.013608122561479669,0.01084619674250554,0.012931053555710786,0.004504834092772186,0.004758845867789748,0.006161062953850626,0.006955235832212498,0.006873564839881435,0.009179757341485484
CERVETERI,0.01101300540275809,0.01163390506092832,0.01088509061993807,0.014080173472046261,0.014330793098176878,0.013766253420665087,0.008326578557494597,0.007813918661083313,0.00808544128701631,0.01082137515271826,0.009673077549772214,0.01039821722322987
CIAMPINO,0.0025062274760975713,0.0024805246628792714,0.0032710402912094006,0.006739444005301528,0.006742445744163142,0.008761214015122544,0.0012114380012867218,0.0011875687486226716,0.0017034231238055567,0.003191371058975262,0.003154366742641729,0.004824630175311603
CICILIANO,0.0011339532686258501,0.00678295983478075,0.00678295983478075,0.0031181643159036002,0.0084264974958917,0.0084264974958917,0.0014319941674062592,0.005301572148583956,0.005301572148583956,0.0037955756271082133,0.006537008186294761,0.006537008186294761
CINETO ROMANO,0.0036210612843393,0.0036210612843393,0.0046940974078545,0.0053813450070524,0.0053813450070524,0.0077812117551400994,0.00034985443070533276,0.00034985443070533276,0.0005283961345180894,0.00014538540576162104,0.00014538540576162104,0.0006182281530047591
CISTERNA DI LATINA,0.010548110532942958,0.010548838103202484,0.011622886218354642,0.01320676018323926,0.013164747981941536,0.015542126611715154,0.006297534570454388,0.0062397235651202865,0.007348426885000669,0.007156971431116231,0.0071052327389051605,0.008643600892548009
CITTADUCALE,0.00858331055772389,0.008546826013383971,0.0067984072178239804,0.011429828293798008,0.011339148231400299,0.00937336447254102,0.005099371891677531,0.005093477633921988,0.0045994023388643045,0.006857449682849256,0.006851091448850367,0.006221693993454801
CITTAREALE,0.0067706108555092405,0.0067706108555092405,0.028954818149404184,0.00973445764128238,0.00973445764128238,0.02950217304822808,0.005683972927415596,0.005683972927415596,0.015356883658075861,0.006944762689453031,0.006944762689453031,0.015160347853848136
