origin,destination,distance_m,duration_s,origin_lat,origin_lon,index_right,LOC21_ID,dist_meters
"41.51870428339467,12.825404961304159","41.6018139,12.8442395",13198.0,969.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.6030151,12.7920773",14142.0,945.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5988695,12.8445966",12745.0,906.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5883622,12.8322439",11315.0,782.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5912536,12.8223525",11939.0,892.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.6021613,12.8453329",13251.0,970.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.51870428339467,12.825404961304159","41.5920012,12.8220183",11439.0,827.0,41.51870428339467,12.825404961304159,2267,5900526614.0,0.0
"41.55055041152828,12.77335318152111","41.6075854,12.8115447",9124.0,727.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5919235,12.8257098",7617.0,604.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5105605,12.8268407",8653.0,644.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.6024918,12.842822",9832.0,849.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.588869,12.8296273",7477.0,582.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5416924,12.8272734",9821.0,685.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5628681,12.8028927",6972.0,492.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5907481,12.7814466",4972.0,375.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.6018139,12.8442395",9684.0,833.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.6030151,12.7920773",7135.0,563.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5988695,12.8445966",9231.0,770.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5883622,12.8322439",7801.0,646.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5912536,12.8223525",8525.0,658.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.6021613,12.8453329",9737.0,834.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.55055041152828,12.77335318152111","41.5920012,12.8220183",8578.0,671.0,41.55055041152828,12.77335318152111,2289,5900526710.0,0.0
"41.501780603953385,12.81676909407253","41.5907481,12.7814466",13264.0,859.0,41.501780603953385,12.81676909407253,2359,5900526718.0,0.0
"41.614406702290665,13.714812325730843","41.6321507,13.714516",9084.0,934.0,41.614406702290665,13.714812325730843,646,6001710004.000001,0.0
"41.37746550654553,13.75462447225313","41.4540027,13.7277831",17986.0,1268.0,41.37746550654553,13.75462447225313,338,6002110001.0,0.0
"41.37681818137987,13.749306008670695","41.4540027,13.7277831",14950.0,986.0,41.37681818137987,13.749306008670695,686,6002120003.0,0.0
"41.37291268651982,13.74906927226991","41.4540027,13.7277831",17725.0,1259.0,41.37291268651982,13.74906927226991,1023,6002110003.0,0.0
"41.37519556739346,13.740274710239184","41.4540027,13.7277831",13598.0,840.0,41.37519556739346,13.740274710239184,1196,6002110002.0,0.0
"41.38052998341355,13.737798311524777","41.4540027,13.7277831",14033.0,945.0,41.38052998341355,13.737798311524777,1900,6002126605.0,0.0
"41.37357117007285,13.754361427219848","41.4540027,13.7277831",17818.0,1256.0,41.37357117007285,13.754361427219848,1921,6002126601.0,0.0
"41.37031728775628,13.75764467150969","41.4540027,13.7277831",18369.0,1319.0,41.37031728775628,13.75764467150969,1993,6002126602.000001,0.0
"41.527351496360716,13.695843715698881","41.5073613,13.6490006",7096.0,518.0,41.527351496360716,13.695843715698881,339,6002210001.0,0.0
"41.521587666245,13.700675145501206","41.5073613,13.6490006",7281.0,559.0,41.521587666245,13.700675145501206,767,6002220001.999999,0.0
"41.51174781596944,13.699661850572106","41.5073613,13.6490006",6815.0,473.0,41.51174781596944,13.699661850572106,895,6002220007.0,0.0
"41.51615879418552,13.688915618049169","41.5073613,13.6490006",5710.0,393.0,41.51615879418552,13.688915618049169,1622,6002220010.0,0.0
"41.52765348287916,13.68431345794058","41.5073613,13.6490006",5539.0,539.0,41.52765348287916,13.68431345794058,1933,6002226620.0,0.0
"41.53222946343559,13.701736645385028","41.5073613,13.6490006",7890.0,611.0,41.53222946343559,13.701736645385028,2117,6002226604.999999,0.0
"41.51196206665314,13.708929536876015","41.5073613,13.6490006",8185.0,606.0,41.51196206665314,13.708929536876015,2271,6002226613.999999,0.0
"41.456208654510085,13.741151543358058","41.5052401,13.7527915",6995.0,693.0,41.456208654510085,13.741151543358058,1032,6005210003.000001,0.0
"41.456208654510085,13.741151543358058","41.497458,13.7511436",5002.0,517.0,41.456208654510085,13.741151543358058,1032,6005210003.000001,0.0
"41.456208654510085,13.741151543358058","41.4989001,13.7568609",5601.0,582.0,41.456208654510085,13.741151543358058,1032,6005210003.000001,0.0
"41.456208654510085,13.741151543358058","41.4972079,13.7500945",5091.0,543.0,41.456208654510085,13.741151543358058,1032,6005210003.000001,0.0
