Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_match_ratio,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_match_ratio,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_match_ratio
ANGUILLARA SABAZIA,5800526702.0,26.0,3.5883333333333334,0.5726642413607935,49.233333333333334,6.7489711150005025,3/3,4.2716666666666665,1.8577336551113386,41.85,4.699408946287229,3/3,3.243,,44.75,,1/1
ANTICOLI CORRADO,5800610001.0,794.0,4.955,,73.56666666666666,,1/1,0.38000000000000006,,5.6,,1/1,0.38000000000000006,,5.6,,1/1
ARCINAZZO ROMANO,5800810001.0,311.0,9.838,,18.833333333333332,,1/1,4.375,4.579223514964082,14.633333333333335,1.1313708498984758,2/2,7.632999999999999,,14.099999999999998,,1/1
ARCINAZZO ROMANO,5800810002.0,868.0,2.366,,32.18333333333333,,1/1,4.4835,5.912119797500724,12.324999999999998,10.618386830817988,2/2,0.316,,4.983333333333333,,1/1
ARICCIA,5800910001.0,17796.0,2.7432000000000003,1.7394721038292047,32.70333333333333,4.351075856740619,5/5,2.7214,1.7506859512773842,32.3,4.25421359752109,5/5,2.064,,33.9,,1/1
ARICCIA,5800926702.0,41.0,2.9184,1.9548929126681085,37.81,11.004043448761104,5/5,2.8964000000000003,1.9606678199021885,37.406666666666666,10.914456519273466,5/5,1.765,,29.216666666666665,,1/1
ARSOLI,5801010001.0,1260.0,0.43099999999999994,,6.35,,1/1,0.158,,3.0,,1/1,0.025,,0.45,,1/1
ARTENA,5801110001.0,9909.0,3.5689999999999995,2.477306299188698,26.376666666666665,13.270861983223913,5/5,2.5235,3.1313376800764665,17.5,11.07691125553342,4/4,0.767,,9.733333333333333,,1/1
ARTENA,5801110004.0,386.0,6.0194,3.492342666463301,31.583333333333336,11.65874135573819,5/5,5.605749999999999,3.379430166462979,35.079166666666666,9.059079494976093,4/4,2.904,,42.05,,1/1
ARTENA,5801110002.0,907.0,4.961200000000001,1.7201935065567482,22.303333333333335,11.523444701033533,5/5,3.94875,1.0002834181704037,13.075,3.335568694918232,4/4,4.7330000000000005,,17.216666666666665,,1/1
ARTENA,5801110005.0,96.0,3.3016,2.1457704443858856,30.05333333333333,16.912874780277107,5/5,3.4850000000000008,0.7584339127438857,24.47083333333333,9.975956048122608,4/4,4.235,,18.583333333333332,,1/1
ARTENA,5801110003.0,1605.0,5.2576,3.9213947518708183,22.65,15.34749798646165,5/5,4.45025,2.5145958422776413,14.545833333333333,3.132753344666401,4/4,5.794,,16.766666666666666,,1/1
BELLEGRA,5801210001.0,1797.0,0.054,,1.15,,1/1,0.054,,1.15,,1/1,0.526,,7.7,,1/1
BELLEGRA,5801220004.0,154.0,4.031,,36.416666666666664,,1/1,4.031,,36.416666666666664,,1/1,4.429,,37.516666666666666,,1/1
BELLEGRA,5801220003.0,81.0,3.4790000000000005,,43.63333333333333,,1/1,3.4790000000000005,,43.63333333333333,,1/1,3.877,,44.733333333333334,,1/1
BELLEGRA,5801226602.0,26.0,2.588,,16.25,,1/1,2.588,,16.25,,1/1,2.986,,17.35,,1/1
