Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
OLEVANO ROMANO,5807310001,5239.0,20.22,,38.63333333333333,,1/1
PALESTRINA,5807410001,2388.0,17.262,,133.21666666666667,,1/1
PALESTRINA,5807410006,74.0,15.107999999999999,,44.45,,1/1
PALESTRINA,5807410002,522.0,4.606,,18.133333333333333,,1/1
PALESTRINA,5807410004,501.0,12.934,,41.56666666666667,,1/1
PALESTRINA,5807420002,213.0,5.719000000000001,,30.083333333333332,,1/1
PALESTRINA,5807420003,144.0,7.021,,69.78333333333333,,1/1
PALESTRINA,5807410005,140.0,8.633,,44.65,,1/1
PALESTRINA,5807410003,15382.0,1.831,,11.716666666666667,,1/1
PALESTRINA,5807420014,152.0,4.271,,40.8,,1/1
PALESTRINA,5807420010,113.0,6.132,,29.383333333333333,,1/1
PALESTRINA,5807420012,73.0,6.134,,35.55,,1/1
PALESTRINA,5807420004,105.0,4.325,,39.083333333333336,,1/1
PALESTRINA,5807426608,22.0,5.376,,12.216666666666667,,1/1
PALESTRINA,5807426715,24.0,6.198,,38.86666666666667,,1/1
PALOMBARA SABINA,5807510001,1094.0,54.22,,128.4,,1/1
PALOMBARA SABINA,5807510002,5973.0,43.712,,89.05,,1/1
PALOMBARA SABINA,5807520003,360.0,10.861,,59.55,,1/1
PALOMBARA SABINA,5807510003,329.0,40.547,,87.06666666666666,,1/1
PALOMBARA SABINA,5807520005,45.0,41.476,,101.1,,1/1
PALOMBARA SABINA,5807520006,60.0,39.160999999999994,,117.01666666666667,,1/1
PALOMBARA SABINA,5807520004,86.0,44.661,,102.78333333333333,,1/1
PALOMBARA SABINA,5807526601,5.0,43.818,,115.05,,1/1
PERCILE,5807610001,198.0,32.145,,62.13333333333333,,1/1
PERCILE,5807626701,8.0,32.883,,69.0,,1/1
PISONIANO,5807710001,710.0,21.248,,32.38333333333333,,1/1
POLI,5807810001,1773.0,0.597,,9.5,,1/1
POLI,5807820001,53.0,5.351,,19.1,,1/1
POLI,5807826602,23.0,22.635999999999996,,69.48333333333333,,1/1
PONZANO ROMANO,5808010001,969.0,106.106,,201.96666666666667,,1/1
RIANO,5808110002,7427.0,55.614,,109.43333333333334,,1/1
RIANO,5808120002,292.0,51.659,,129.96666666666667,,1/1
RIANO,5808120001,207.0,49.62799999999999,,147.03333333333333,,1/1
RIANO,5808110003,1400.0,52.487,,100.96666666666667,,1/1
RIANO,5808120010,45.0,59.082,,136.06666666666666,,1/1
RIANO,5808120006,36.0,54.388,,167.0,,1/1
RIANO,5808126612,20.0,50.382,,109.21666666666667,,1/1
RIANO,5808126607,39.0,51.138,,137.46666666666667,,1/1
RIANO,5808126609,38.0,54.627,,115.18333333333335,,1/1
RIANO,5808126608,36.0,58.84799999999999,,132.61666666666667,,1/1
RIGNANO FLAMINIO,5808210001,7221.0,67.749,,144.83333333333334,,1/1
RIGNANO FLAMINIO,5808220007,51.0,69.853,,146.05,,1/1
RIGNANO FLAMINIO,5808210003,1266.0,62.730999999999995,,148.46666666666667,,1/1
RIGNANO FLAMINIO,5808220005,72.0,61.190000000000005,,130.78333333333333,,1/1
RIGNANO FLAMINIO,5808220006,106.0,69.056,,142.78333333333333,,1/1
RIGNANO FLAMINIO,5808220004,64.0,68.141,,145.51666666666668,,1/1
RIGNANO FLAMINIO,5808220201,7.0,69.621,,143.08333333333334,,1/1
RIGNANO FLAMINIO,5808226702,39.0,61.91599999999999,,126.9,,1/1
RIOFREDDO,5808310001,698.0,25.957,,85.11666666666666,,1/1
ROCCA CANTERANO,5808410001,120.0,15.37,,43.45,,1/1
ROCCA CANTERANO,5808410002,60.0,16.906,,39.86666666666667,,1/1
ROCCA DI CAVE,5808510001,174.0,18.607,,50.833333333333336,,1/1
ROCCA DI CAVE,5808510002,57.0,7.474,,31.7,,1/1
ROCCA DI PAPA,5808610001,183.0,7.378,,56.0,,1/1
ROCCA DI PAPA,5808610002,16679.0,0.581,,10.9,,1/1
ROCCA DI PAPA,5808620003,107.0,17.809,,65.8,,1/1
ROCCA DI PAPA,5808626701,4.0,2.397,,7.333333333333333,,1/1
ROCCA DI PAPA,5808626704,142.0,2.414,,32.3,,1/1
ROCCAGIOVINE,5808710001,235.0,23.431,,48.21666666666667,,1/1
ROCCA PRIORA,5808810001,1889.0,14.538,,31.083333333333332,,1/1
ROCCA PRIORA,5808810002,9857.0,16.292,,52.266666666666666,,1/1
ROCCA PRIORA,5808820001,52.0,6.277,,74.63333333333334,,1/1
ROCCA SANTO STEFANO,5808910001,820.0,64.092,,143.66666666666666,,1/1
ROCCA SANTO STEFANO,5808926601,13.0,65.282,,161.71666666666667,,1/1
ROIATE,5809010001,627.0,40.066,,145.5,,1/1
ROVIANO,5809210001,1238.0,18.029,,52.65,,1/1
SACROFANO,5809310001,57.0,52.104,,140.51666666666668,,1/1
SACROFANO,5809310002,1790.0,79.837,,163.65,,1/1
SACROFANO,5809320001,399.0,77.792,,161.58333333333334,,1/1
SACROFANO,5809320007,142.0,62.302,,215.91666666666666,,1/1
SACROFANO,5809310003,3247.0,74.987,,158.1,,1/1
SACROFANO,5809320005,62.0,74.852,,153.15,,1/1
SACROFANO,5809320008,70.0,53.117,,155.88333333333333,,1/1
SACROFANO,5809320009,142.0,48.326,,128.61666666666667,,1/1
SACROFANO,5809320004,289.0,78.284,,159.9,,1/1
SACROFANO,5809326611,27.0,51.82999999999999,,137.85,,1/1
SACROFANO,5809326606,26.0,77.159,,162.23333333333332,,1/1
SACROFANO,5809326610,18.0,48.75,,134.83333333333334,,1/1
SAMBUCI,5809410001,811.0,18.434,,36.36666666666667,,1/1
SAN GREGORIO DA SASSOLA,5809510001,1096.0,14.446,,44.43333333333333,,1/1
SAN POLO DEI CAVALIERI,5809610001,1739.0,12.46,,33.9,,1/1
